_date,total_clones,unique_clones
2026-06-25,0,0
2026-06-26,0,0
2026-06-27,0,0
2026-06-28,0,0
2026-06-29,0,0
2026-06-30,1,1
2026-07-01,0,0
2026-07-02,0,0
2026-07-03,0,0
2026-07-04,0,0
2026-07-05,356,7
2026-07-06,1,1
2026-07-07,2,2
2026-07-08,0,0
2026-07-09,2,2
2026-07-10,3,3
2026-07-11,2,2
2026-07-12,10,7
2026-07-13,2,2
2026-07-14,2,2
2026-07-15,8,5
2026-07-16,7,4
2026-07-17,13,9
2026-07-18,18,13
2026-07-19,3,3
2026-07-20,1,1
2026-07-21,4,3
2026-07-22,2,2
2026-07-23,4,4
2026-07-24,7,4
2026-07-25,3,3
2026-07-26,2,2
2026-07-27,2,2
2026-07-28,2,2
2026-07-29,2,2
2026-07-30,2,2
2026-07-31,15,11
2026-08-01,7,4
2026-08-02,13,8
2026-08-03,6,6
2026-08-04,1,1
2026-08-05,2,2
2026-08-06,10,7
