_date,total_views,unique_views
2026-06-25,0,0
2026-06-26,0,0
2026-06-27,0,0
2026-06-28,0,0
2026-06-29,0,0
2026-06-30,0,0
2026-07-01,0,0
2026-07-02,0,0
2026-07-03,0,0
2026-07-04,0,0
2026-07-05,13,3
2026-07-06,4,1
2026-07-07,4,2
2026-07-08,0,0
2026-07-09,6,1
2026-07-10,1,1
2026-07-11,0,0
2026-07-12,1,1
2026-07-13,6,1
2026-07-14,1,1
2026-07-15,0,0
2026-07-16,0,0
2026-07-17,0,0
2026-07-18,0,0
2026-07-19,0,0
2026-07-20,0,0
2026-07-21,0,0
2026-07-22,0,0
2026-07-23,0,0
2026-07-24,0,0
2026-07-25,0,0
2026-07-26,0,0
